"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 14 05:04:01 GMT 2022","Wed Sep 14 05:04:04 GMT 2022","2670","","US001 - Funcionalidade: Login","","","","Deve fazer login com sucesso",""
"passed","Wed Sep 14 05:04:21 GMT 2022","Wed Sep 14 05:04:21 GMT 2022","437","","Testes de Criação de Perfil","","","","[POST] Criar um perfil",""
"passed","Wed Sep 14 05:04:04 GMT 2022","Wed Sep 14 05:04:05 GMT 2022","1159","","US001 - Funcionalidade: Login","","","","Validar mensagem de erro quando inserir usuário ou senha inválidos",""
"passed","Wed Sep 14 05:04:06 GMT 2022","Wed Sep 14 05:04:07 GMT 2022","1287","","US001 - Funcionalidade: Login","","","","Deve fazer login com sucesso - Usando fixture",""
"failed","Wed Sep 14 05:02:57 GMT 2022","Wed Sep 14 05:03:27 GMT 2022","30324","Validar meus pedidos","Dado que acesso meus pedidos","","","","Quando acesso a url ""https://meuspedidos.casasbahia.com.br/""",""
"passed","Wed Sep 14 05:04:21 GMT 2022","Wed Sep 14 05:04:22 GMT 2022","565","","Testes de consulta","","","","[GET] Consultar um perfil",""
"failed","Wed Sep 14 05:03:40 GMT 2022","Wed Sep 14 05:03:44 GMT 2022","3193","Validar meus pedidos","Dado que acesso meus pedidos","","","","Então visualizo a pagina de meus pedidos",""
"passed","Wed Sep 14 05:04:22 GMT 2022","Wed Sep 14 05:04:23 GMT 2022","514","","Testes de exclusão","","","","[DELETE] Excluir um perfil",""
"failed","Wed Sep 14 05:03:27 GMT 2022","Wed Sep 14 05:03:40 GMT 2022","13302","Validar meus pedidos","Dado que acesso meus pedidos","","","","E realizo o login",""
"passed","Wed Sep 14 05:04:22 GMT 2022","Wed Sep 14 05:04:22 GMT 2022","464","","Testes de consulta","","","","[GET] Consulta por id",""
"passed","Wed Sep 14 05:04:05 GMT 2022","Wed Sep 14 05:04:06 GMT 2022","987","","US001 - Funcionalidade: Login","","","","Deve fazer login com sucesso - Usando importação",""
